;labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
83;Esferas_BT474_dia_0_well_2_100X_1_blob_22;566.7385;1612.1981;455.4352;1612.1981;455.4352;104.9658;1600.5435;438.1793;23.0978;34.6467;0.6464;35.463;2365;646;110.1707;20.9831;1.8957;0.5275;0.88;no;0;28.22305;3.642867333613583
84;Esferas_BT474_dia_0_well_2_100X_1_blob_25;652.1185;1337.2034;531.3325;1337.2034;531.3325;112.8849;1326.0870000000002;512.2283;23.0978;37.3641;0.6431;37.9767;1964;754;100.3048;22.5456;1.9057;0.5248;0.8862;no;0;30.26115;4.490428697566582
85;Esferas_BT474_dia_0_well_2_100X_1_blob_29;812.2637;908.2448;569.771;908.2448;569.771;128.5581;887.2283;553.6685;41.4402;31.9293;0.6176;44.1576;1306;850;22.6199;24.3051;2.0489;0.4881;0.8826;no;0;34.23135;6.499853987865112
86;Esferas_BT474_dia_0_well_2_100X_1_blob_32;516.8951;398.4157;680.2346;398.4157;680.2346;102.4815;381.1141;667.1196;33.9674;25.8152;0.6185;36.2163;562;1013;23.1986;19.6797;2.1392;0.4675;0.8672;no;0;27.948;3.5373963520129847
87;Esferas_BT474_dia_0_well_2_100X_1_blob_38;628.5813;1395.5386;767.3064;1395.5386;767.3064;110.0026;1377.7174;752.038;36.0054;29.8913;0.6528;40.1333;2029;1114;146.0409;20.9143;2.1124;0.4734;0.8859;no;0;30.5238;4.608369755435367
88;Esferas_BT474_dia_0_well_2_100X_1_blob_44;741.6521;1354.9263;912.5647;1354.9263;912.5647;121.435;1340.3533;893.3424;29.212;38.7228;0.632;41.0373;1985;1372;70.6652;23.2592;1.9137;0.5226;0.8918;no;0;32.148250000000004;5.383981150132438
89;Esferas_BT474_dia_0_well_2_100X_1_blob_46;474.4358;659.2231;930.2862;659.2231;930.2862;100.4918;644.0217;919.837;33.288000000000004;21.0598;0.5904;33.7288;948;1372;9.2726;21.0598;1.81;0.5525;0.861;no;0;27.3943;3.3312877080338623
90;Esferas_BT474_dia_0_well_2_100X_1_blob_47;588.4297;1145.1638;936.189;1145.1638;936.189;107.1204;1127.7174;925.9511;36.0054;22.4185;0.6444;37.0727;1660;1384;13.7816;21.89;1.9526;0.5121;0.8873;no;0;29.48135;4.152155598762318
91;Esferas_BT474_dia_0_well_2_100X_1_blob_49;709.8077;1696.1615;954.8291;1696.1615;954.8291;111.3613;1677.3098;938.8587;36.6848;31.9293;0.7193;40.6361;2473;1387;141.789;22.6101;1.9627;0.5095;0.9044;no;0;31.6231;5.124421493108387
92;Esferas_BT474_dia_0_well_2_100X_1_blob_50;608.2748;1031.201;971.4514;1031.201;971.4514;104.801;1013.587;957.2011;34.6467;28.5326;0.696;37.3888;1493;1442;24.7024;20.9783;1.9321;0.5176;0.9;no;0;29.183550000000004;4.027595806148075
93;Esferas_BT474_dia_0_well_2_100X_1_blob_64;781.8038;267.9558;1251.317;267.9558;1251.317;122.5606;247.2826;1235.0543;40.0815;31.9293;0.654;43.2281;366;1859;30.1916;25.4292;1.9673;0.5083;0.8911;no;0;34.32865;6.555437698124084
